iter	Passed	Remaining
849	10584	1867
850	10594	1855
851	10607	1842
852	10618	1829
853	10628	1816
854	10638	1804
855	10650	1791
856	10660	1778
857	10672	1766
858	10682	1753
859	10692	1740
860	10704	1728
861	10717	1715
862	10727	1702
863	10737	1690
864	10749	1677
865	10758	1664
866	10770	1652
867	10781	1639
868	10790	1626
869	10801	1614
870	10812	1601
871	10824	1588
872	10835	1576
873	10847	1563
874	10856	1550
875	10868	1538
876	10878	1525
877	10888	1513
878	10899	1500
879	10911	1487
880	10923	1475
881	10934	1462
882	10945	1450
883	10955	1437
884	10966	1425
885	10977	1412
886	10987	1399
887	10997	1387
888	11009	1374
889	11020	1362
890	11032	1349
891	11043	1337
892	11052	1324
893	11063	1311
894	11074	1299
895	11085	1286
896	11095	1274
897	11106	1261
898	11116	1248
899	11128	1236
900	11140	1224
901	11149	1211
902	11160	1198
903	11173	1186
904	11183	1173
905	11193	1161
906	11205	1148
907	11215	1136
908	11225	1123
909	11235	1111
910	11247	1098
911	11257	1086
912	11267	1073
913	11277	1061
914	11289	1048
915	11299	1036
916	11310	1023
917	11322	1011
918	11331	998
919	11344	986
920	11354	973
921	11364	961
922	11375	948
923	11386	936
924	11396	924
925	11407	911
926	11417	899
927	11427	886
928	11440	874
929	11451	861
930	11461	849
931	11471	836
932	11481	824
933	11492	812
934	11503	799
935	11513	787
936	11525	774
937	11536	762
938	11546	750
939	11557	737
940	11568	725
941	11579	712
942	11592	700
943	11603	688
944	11612	675
945	11623	663
946	11635	651
947	11644	638
948	11657	626
949	11668	614
950	11678	601
951	11688	589
952	11699	577
953	11709	564
954	11720	552
955	11730	539
956	11741	527
957	11754	515
958	11764	502
959	11774	490
960	11785	478
961	11796	465
962	11806	453
963	11817	441
964	11827	428
965	11837	416
966	11849	404
967	11859	392
968	11871	379
969	11882	367
970	11891	355
971	11902	342
972	11913	330
973	11923	318
974	11934	306
975	11945	293
976	11955	281
977	11967	269
978	11979	256
979	11994	244
980	12006	232
981	12018	220
982	12030	208
983	12041	195
984	12051	183
985	12061	171
986	12071	158
987	12083	146
988	12094	134
989	12104	122
990	12116	110
991	12127	97
992	12138	85
993	12149	73
994	12159	61
995	12169	48
996	12182	36
997	12193	24
998	12203	12
999	12213	0
